"timeframe","Zip","NumOccupiedHsgUnits","zip_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
2006,"ZIP 20003",".",20003,"01JAN2006","31DEC2006",".",".",".",".",".",574750,230,148408,89,0.1,5.0,27,0.4,2.0,".",".",".",1
2007,"ZIP 20003",".",20003,"01JAN2007","31DEC2007",".",".",".",".",".",550000,196,148408,89,0.1,9.1,49,1.3,7.0,".",".",".",1
2008,"ZIP 20003",".",20003,"01JAN2008","31DEC2008",".",".",".",".",".",549000,175,148408,89,0.1,14,80,5.1,29,".",".",".",1
2009,"ZIP 20003",".",20003,"01JAN2009","31DEC2009",".",".",".",".",".",584155,233,148408,89,0.1,17,99,4.0,23,".",".",".",1
2010,"ZIP 20003",".",20003,"01JAN2010","31DEC2010",".",".",".",".",".",625000,233,148408,89,0.1,13,77,3.6,21,".",".",".",1
2011,"ZIP 20003",".",20003,"01JAN2011","31DEC2011",".",".",".",".",".",611920,260,148408,89,0.1,0.0,0.0,0.8,5.0,".",".",".",1
2012,"ZIP 20003",".",20003,"01JAN2012","31DEC2012",".",".",".",".",".",657173,268,148408,89,0.1,0.3,2.0,0.2,1.0,".",".",".",1
2013,"ZIP 20003",".",20003,"01JAN2013","31DEC2013",".",".",".",".",".",679000,239,148408,89,0.1,0.2,1.0,0.3,2.0,".",".",".",1
2014,"ZIP 20003",".",20003,"01JAN2014","31DEC2014",".",".",".",".",".",724000,220,148408,89,0.1,0.2,1.0,0.3,2.0,".",".",".",1
2015,"ZIP 20003",".",20003,"01JAN2015","31DEC2015",".",".",".",".",".",749000,226,148408,89,0.1,0.2,1.0,0.3,2.0,".",".",".",1
2016,"ZIP 20003",".",20003,"01JAN2016","31DEC2016",".",".",".",".",".",765000,201,148408,89,0.1,0.2,1.0,0.3,2.0,".",".",".",1
1995,"ZIP 20004",".",20004,"01JAN1995","31DEC1995",".",".",".",".",".",".",0.0,116597,146,0.0,2.2,1.0,0.0,0.0,".",".",".",1
1996,"ZIP 20004",".",20004,"01JAN1996","31DEC1996",".",".",".",".",".",".",0.0,97797,165,0.0,4.5,2.0,0.0,0.0,".",".",".",1
1997,"ZIP 20004",".",20004,"01JAN1997","31DEC1997",".",".",".",".",".",".",0.0,109165,165,0.0,6.7,3.0,0.0,0.0,".",".",".",1
1998,"ZIP 20004",".",20004,"01JAN1998","31DEC1998",".",".",".",".",".",".",0.0,113800,135,0.0,4.5,2.0,0.0,0.0,".",".",".",1
1999,"ZIP 20004",".",20004,"01JAN1999","31DEC1999",".",".",".",".",".",".",0.0,108244,172,0.0,2.2,1.0,0.0,0.0,".",".",".",1
2000,"ZIP 20004",".",20004,"01JAN2000","31DEC2000",".",".",".",".",".",".",0.0,157696,171,0.0,0.0,0.0,0.0,0.0,".",".",".",1
2001,"ZIP 20004",".",20004,"01JAN2001","31DEC2001",".",".",".",".",".",".",0.0,124082,584,0.0,4.5,2.0,0.0,0.0,".",".",".",1
2002,"ZIP 20004",".",20004,"01JAN2002","31DEC2002",".",".",".",".",".",".",0.0,126656,732,0.0,6.1,3.0,0.0,0.0,".",".",".",1
