"start_date","end_date","Zip","timeframe","ZIP_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2014","31DEC2014","ZIP 20018",2014,20018,83,12,1
"01JAN2015","31DEC2015","ZIP 20018",2015,20018,81,14,1
"01JAN2016","31DEC2016","ZIP 20018",2016,20018,70,13,1
"01JAN2000","31DEC2000","ZIP 20019",2000,20019,46,20,1
"01JAN2001","31DEC2001","ZIP 20019",2001,20019,49,21,1
"01JAN2002","31DEC2002","ZIP 20019",2002,20019,52,20,1
"01JAN2003","31DEC2003","ZIP 20019",2003,20019,65,20,1
"01JAN2004","31DEC2004","ZIP 20019",2004,20019,47,18,1
"01JAN2005","31DEC2005","ZIP 20019",2005,20019,37,19,1
"01JAN2006","31DEC2006","ZIP 20019",2006,20019,36,16,1
"01JAN2007","31DEC2007","ZIP 20019",2007,20019,46,17,1
"01JAN2008","31DEC2008","ZIP 20019",2008,20019,54,19,1
"01JAN2009","31DEC2009","ZIP 20019",2009,20019,45,20,1
"01JAN2010","31DEC2010","ZIP 20019",2010,20019,45,20,1
"01JAN2011","31DEC2011","ZIP 20019",2011,20019,45,19,1
"01JAN2012","31DEC2012","ZIP 20019",2012,20019,44,18,1
"01JAN2013","31DEC2013","ZIP 20019",2013,20019,45,23,1
"01JAN2014","31DEC2014","ZIP 20019",2014,20019,54,23,1
"01JAN2015","31DEC2015","ZIP 20019",2015,20019,47,19,1
"01JAN2016","31DEC2016","ZIP 20019",2016,20019,43,17,1
"01JAN2000","31DEC2000","ZIP 20020",2000,20020,40,20,1
"01JAN2001","31DEC2001","ZIP 20020",2001,20020,44,21,1
"01JAN2002","31DEC2002","ZIP 20020",2002,20020,46,21,1
"01JAN2003","31DEC2003","ZIP 20020",2003,20020,50,20,1
"01JAN2004","31DEC2004","ZIP 20020",2004,20020,40,18,1
"01JAN2005","31DEC2005","ZIP 20020",2005,20020,35,18,1
"01JAN2006","31DEC2006","ZIP 20020",2006,20020,33,19,1
"01JAN2007","31DEC2007","ZIP 20020",2007,20020,43,20,1
"01JAN2008","31DEC2008","ZIP 20020",2008,20020,39,18,1
"01JAN2009","31DEC2009","ZIP 20020",2009,20020,41,16,1
"01JAN2010","31DEC2010","ZIP 20020",2010,20020,37,18,1
"01JAN2011","31DEC2011","ZIP 20020",2011,20020,38,17,1
"01JAN2012","31DEC2012","ZIP 20020",2012,20020,45,21,1
"01JAN2013","31DEC2013","ZIP 20020",2013,20020,45,19,1
"01JAN2014","31DEC2014","ZIP 20020",2014,20020,45,17,1
"01JAN2015","31DEC2015","ZIP 20020",2015,20020,43,16,1
