"start_date","end_date","geo2010","timeframe","geo2010_nf","Pct_births_low_wt","Pct_births_teen","ucounty","indc"
"01JAN2016","31DEC2016","DC Tract 41",2016,11001004100,9.4,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 42.01",2003,11001004201,4.8,4.8,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 42.01",2004,11001004201,9.5,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 42.01",2005,11001004201,7.4,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 42.01",2006,11001004201,0.0,0.0,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 42.01",2007,11001004201,8.0,0.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 42.01",2008,11001004201,6.1,3.0,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 42.01",2009,11001004201,3.6,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 42.01",2010,11001004201,3.7,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 42.01",2011,11001004201,12,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 42.01",2012,11001004201,9.4,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 42.01",2013,11001004201,5.7,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 42.01",2014,11001004201,0.0,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 42.01",2015,11001004201,11,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 42.01",2016,11001004201,8.3,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 42.02",2003,11001004202,12,0.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 42.02",2004,11001004202,0.0,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 42.02",2005,11001004202,7.7,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 42.02",2006,11001004202,17,0.0,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 42.02",2007,11001004202,0.0,0.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 42.02",2008,11001004202,0.0,0.0,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 42.02",2009,11001004202,18,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 42.02",2010,11001004202,0.0,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 42.02",2011,11001004202,0.0,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 42.02",2012,11001004202,0.0,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 42.02",2013,11001004202,8.3,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 42.02",2014,11001004202,0.0,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 42.02",2015,11001004202,0.0,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 42.02",2016,11001004202,4.5,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 43",2003,11001004300,15,7.4,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 43",2004,11001004300,8.1,16,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 43",2005,11001004300,2.9,8.6,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 43",2006,11001004300,13,15,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 43",2007,11001004300,5.9,12,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 43",2008,11001004300,5.9,8.8,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 43",2009,11001004300,14,12,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 43",2010,11001004300,2.5,5.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 43",2011,11001004300,4.9,2.4,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 43",2012,11001004300,10,5.1,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 43",2013,11001004300,14,2.7,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 43",2014,11001004300,2.7,2.7,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 43",2015,11001004300,2.4,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 43",2016,11001004300,2.2,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 44",2003,11001004400,8.2,4.1,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 44",2004,11001004400,6.5,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 44",2005,11001004400,11,1.9,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 44",2006,11001004400,2.6,2.6,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 44",2007,11001004400,18,4.6,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 44",2008,11001004400,6.3,1.6,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 44",2009,11001004400,14,3.6,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 44",2010,11001004400,11,2.7,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 44",2011,11001004400,6.9,0.0,"District of Columbia",1
