start_date,end_date,cluster2017,timeframe,cluster2017_nf,Pct_births_low_wt,Pct_births_teen,indc
1-Jan-03,31-Dec-03,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2003,Cluster 15,6.6,0,1
1-Jan-04,31-Dec-04,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2004,Cluster 15,3.3,0.6,1
1-Jan-05,31-Dec-05,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2005,Cluster 15,6.4,0,1
1-Jan-06,31-Dec-06,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2006,Cluster 15,9.9,0,1
1-Jan-07,31-Dec-07,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2007,Cluster 15,7.3,1.9,1
1-Jan-08,31-Dec-08,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2008,Cluster 15,6.3,0,1
1-Jan-09,31-Dec-09,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2009,Cluster 15,5.6,0.7,1
1-Jan-10,31-Dec-10,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2010,Cluster 15,5.9,0,1
1-Jan-11,31-Dec-11,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2011,Cluster 15,7.6,0,1
1-Jan-98,31-Dec-98,"Colonial Village, Shepherd Park, North Portal Estates",1998,Cluster 16,7.1,7.1,1
1-Jan-99,31-Dec-99,"Colonial Village, Shepherd Park, North Portal Estates",1999,Cluster 16,32,2.6,1
1-Jan-00,31-Dec-00,"Colonial Village, Shepherd Park, North Portal Estates",2000,Cluster 16,32,3.2,1
1-Jan-01,31-Dec-01,"Colonial Village, Shepherd Park, North Portal Estates",2001,Cluster 16,7.9,2.6,1
1-Jan-02,31-Dec-02,"Colonial Village, Shepherd Park, North Portal Estates",2002,Cluster 16,2.6,5.1,1
1-Jan-03,31-Dec-03,"Colonial Village, Shepherd Park, North Portal Estates",2003,Cluster 16,17,2.8,1
1-Jan-04,31-Dec-04,"Colonial Village, Shepherd Park, North Portal Estates",2004,Cluster 16,11,0,1
1-Jan-05,31-Dec-05,"Colonial Village, Shepherd Park, North Portal Estates",2005,Cluster 16,18,4.5,1
1-Jan-06,31-Dec-06,"Colonial Village, Shepherd Park, North Portal Estates",2006,Cluster 16,12,4.8,1
1-Jan-07,31-Dec-07,"Colonial Village, Shepherd Park, North Portal Estates",2007,Cluster 16,14,2,1
