"timeframe","zip","zip_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
2005,"ZIP 20001",20001,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",3524,7599
2006,"ZIP 20001",20001,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",3001,7227
2007,"ZIP 20001",20001,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",2787,6761
2008,"ZIP 20001",20001,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",2464,6379
2009,"ZIP 20001",20001,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",2308,6819
2010,"ZIP 20001",20001,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",2290,7546
2011,"ZIP 20001",20001,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",2291,8396
2012,"ZIP 20001",20001,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",2239,8510
2013,"ZIP 20001",20001,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",2155,8460
2014,"ZIP 20001",20001,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",2030,7732
2015,"ZIP 20001",20001,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",1770,7565
2000,"ZIP 20002",20002,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",5256,9488
2001,"ZIP 20002",20002,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",5136,9262
2002,"ZIP 20002",20002,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",5280,10013
2003,"ZIP 20002",20002,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",5576,11809
2004,"ZIP 20002",20002,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",6104,13525
2005,"ZIP 20002",20002,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",5840,13748
2006,"ZIP 20002",20002,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",5323,12801
2007,"ZIP 20002",20002,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",4701,12438
2008,"ZIP 20002",20002,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",4649,13187
2009,"ZIP 20002",20002,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",4786,15004
2010,"ZIP 20002",20002,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",4664,16328
2011,"ZIP 20002",20002,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",4807,17655
2012,"ZIP 20002",20002,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",4784,17838
2013,"ZIP 20002",20002,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",4506,17666
2014,"ZIP 20002",20002,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",4294,16226
2015,"ZIP 20002",20002,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",3957,15404
2000,"ZIP 20003",20003,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",1670,3402
2001,"ZIP 20003",20003,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",1709,3043
2002,"ZIP 20003",20003,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",1514,2799
2003,"ZIP 20003",20003,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",1485,2783
2004,"ZIP 20003",20003,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",1428,2570
2005,"ZIP 20003",20003,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",1234,2192
2006,"ZIP 20003",20003,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",1028,2100
2007,"ZIP 20003",20003,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",945,2044
2008,"ZIP 20003",20003,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",937,2192
2009,"ZIP 20003",20003,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",955,2338
2010,"ZIP 20003",20003,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",989,2608
2011,"ZIP 20003",20003,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",985,2899
